Date,Open,High,Low,Close*,Adj Close**,
3/7/22,"4,327.01","4,327.01","4,199.85","4,201.09","4,201.09",
3/4/22,"4,342.12","4,342.12","4,284.98","4,328.87","4,328.87",
3/3/22,"4,401.31","4,416.78","4,345.56","4,363.49","4,363.49",
3/2/22,"4,322.56","4,401.48","4,322.56","4,386.54","4,386.54",
3/1/22,"4,363.14","4,378.45","4,279.54","4,306.26","4,306.26",
2/28/22,"4,354.17","4,388.84","4,315.12","4,373.94","4,373.94",
2/25/22,"4,298.38","4,385.34","4,286.83","4,384.65","4,384.65",
2/24/22,"4,155.77","4,294.73","4,114.65","4,288.70","4,288.70",
2/23/22,"4,324.93","4,341.51","4,221.51","4,225.50","4,225.50",
2/22/22,"4,332.74","4,362.12","4,267.11","4,304.76","4,304.76",
2/18/22,"4,384.57","4,394.60","4,327.22","4,348.87","4,348.87",
2/17/22,"4,456.06","4,456.06","4,373.81","4,380.26","4,380.26",
2/16/22,"4,455.75","4,489.55","4,429.68","4,475.01","4,475.01",
2/15/22,"4,429.28","4,472.77","4,429.28","4,471.07","4,471.07",
2/14/22,"4,412.61","4,426.22","4,364.84","4,401.67","4,401.67",
2/11/22,"4,506.27","4,526.33","4,401.41","4,418.64","4,418.64",
2/10/22,"4,553.24","4,588.92","4,484.31","4,504.08","4,504.08",
2/9/22,"4,547.00","4,590.03","4,547.00","4,587.18","4,587.18",
2/8/22,"4,480.02","4,531.32","4,465.40","4,521.54","4,521.54",
2/7/22,"4,505.75","4,521.86","4,471.47","4,483.87","4,483.87",
2/4/22,"4,482.79","4,539.66","4,451.50","4,500.53","4,500.53",
2/3/22,"4,535.41","4,542.88","4,470.39","4,477.44","4,477.44",
2/2/22,"4,566.39","4,595.31","4,544.32","4,589.38","4,589.38",
2/1/22,"4,519.57","4,550.49","4,483.53","4,546.54","4,546.54",
1/31/22,"4,431.79","4,516.89","4,414.02","4,515.55","4,515.55",
1/28/22,"4,336.19","4,432.72","4,292.46","4,431.85","4,431.85",
1/27/22,"4,380.58","4,428.74","4,309.50","4,326.51","4,326.51",
1/26/22,"4,408.43","4,453.23","4,304.80","4,349.93","4,349.93",
1/25/22,"4,366.64","4,411.01","4,287.11","4,356.45","4,356.45",
1/24/22,"4,356.32","4,417.35","4,222.62","4,410.13","4,410.13",
1/21/22,"4,471.38","4,494.52","4,395.34","4,397.94","4,397.94",
1/20/22,"4,547.35","4,602.11","4,477.95","4,482.73","4,482.73",
1/19/22,"4,588.03","4,611.55","4,530.20","4,532.76","4,532.76",
1/18/22,"4,632.24","4,632.24","4,568.70","4,577.11","4,577.11",
1/14/22,"4,637.99","4,665.13","4,614.75","4,662.85","4,662.85",
1/13/22,"4,733.56","4,744.13","4,650.29","4,659.03","4,659.03",
1/12/22,"4,728.59","4,748.83","4,706.71","4,726.35","4,726.35",
1/11/22,"4,669.14","4,714.13","4,638.27","4,713.07","4,713.07",
1/10/22,"4,655.34","4,673.02","4,582.24","4,670.29","4,670.29",
1/7/22,"4,697.66","4,707.95","4,662.74","4,677.03","4,677.03",
1/6/22,"4,693.39","4,725.01","4,671.26","4,696.05","4,696.05",
1/5/22,"4,787.99","4,797.70","4,699.44","4,700.58","4,700.58",
1/4/22,"4,804.51","4,818.62","4,774.27","4,793.54","4,793.54",
1/3/22,"4,778.14","4,796.64","4,758.17","4,796.56","4,796.56",
12/31/21,"4,775.21","4,786.83","4,765.75","4,766.18","4,766.18",
12/30/21,"4,794.23","4,808.93","4,775.33","4,778.73","4,778.73",
12/29/21,"4,788.64","4,804.06","4,778.08","4,793.06","4,793.06",
12/28/21,"4,795.49","4,807.02","4,780.04","4,786.35","4,786.35",
12/27/21,"4,733.99","4,791.49","4,733.99","4,791.19","4,791.19",
12/23/21,"4,703.96","4,740.74","4,703.96","4,725.79","4,725.79",
12/22/21,"4,650.36","4,697.67","4,645.53","4,696.56","4,696.56",
12/21/21,"4,594.96","4,651.14","4,583.16","4,649.23","4,649.23",
